# MD Simulation - NVT Ensemble
# Timestep: 0.5 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
       363      181.500      2124.73      0.15139407   -234.50461881   -234.35322474
       364      182.000      2896.02      0.20635063   -234.50235517   -234.29600454
       365      182.500      3058.86      0.21795403   -234.50002818   -234.28207414
       366      183.000      2628.43      0.18728404   -234.50174091   -234.31445687
       367      183.500      1651.64      0.11768506   -234.50066225   -234.38297719
       368      184.000      1763.98      0.12568905   -234.49584436   -234.37015531
       369      184.500      2175.94      0.15504272   -234.49547888   -234.34043616
       370      185.000      1391.05      0.09911720   -234.49509798   -234.39598078
       371      185.500      1301.99      0.09277119   -234.49775867   -234.40498748
       372      186.000      2087.15      0.14871632   -234.49555337   -234.34683705
       373      186.500      2549.42      0.18165483   -234.50045793   -234.31880310
       374      187.000      2026.90      0.14442337   -234.49797996   -234.35355659
       375      187.500      1677.59      0.11953410   -234.50356863   -234.38403453
       376      188.000      2068.01      0.14735233   -234.50335445   -234.35600212
       377      188.500      2406.16      0.17144662   -234.50369584   -234.33224922
       378      189.000      1392.11      0.09919249   -234.50021769   -234.40102520
       379      189.500      1769.75      0.12610045   -234.49950645   -234.37340599
       380      190.000      1714.34      0.12215248   -234.50377131   -234.38161883
       381      190.500      1593.24      0.11352383   -234.49958610   -234.38606227
       382      191.000      2470.94      0.17606287   -234.50044254   -234.32437967
       383      191.500      2018.03      0.14379092   -234.50211172   -234.35832080
       384      192.000      1958.14      0.13952358   -234.50185127   -234.36232769
       385      192.500      1660.51      0.11831672   -234.49898332   -234.38066660
       386      193.000      3092.10      0.22032244   -234.50100507   -234.28068263
       387      193.500      1808.18      0.12883860   -234.49600606   -234.36716746
       388      194.000      1584.99      0.11293584   -234.49882864   -234.38589280
       389      194.500      2529.46      0.18023262   -234.50217195   -234.32193934
       390      195.000      1727.27      0.12307393   -234.50180270   -234.37872877
       391      195.500      2013.24      0.14345000   -234.50369928   -234.36024928
       392      196.000      1525.47      0.10869467   -234.50281055   -234.39411588
       393      196.500      2295.59      0.16356814   -234.49816160   -234.33459346
       394      197.000      2736.41      0.19497816   -234.50108592   -234.30610776
       395      197.500      1703.67      0.12139206   -234.50111500   -234.37972294
       396      198.000      2897.36      0.20644604   -234.50398926   -234.29754322
       397      198.500      1005.67      0.07165742   -234.49877010   -234.42711268
       398      199.000      2088.83      0.14883601   -234.49968512   -234.35084911
       399      199.500      2520.30      0.17957986   -234.50012454   -234.32054468
       400      200.000      2757.54      0.19648380   -234.50279874   -234.30631494
       401      200.500      2747.60      0.19577556   -234.50513172   -234.30935615
