# MD Simulation - NVE Ensemble
# Timestep: 0.25 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
       373       93.250       270.75      0.03729763   -779.13155540   -779.09425778
       374       93.500       276.59      0.03810154   -779.13178535   -779.09368381
       375       93.750       275.75      0.03798650   -779.13175219   -779.09376570
       376       94.000       268.78      0.03702579   -779.13147541   -779.09444962
       377       94.250       258.80      0.03565093   -779.13107832   -779.09542739
       378       94.500       250.54      0.03451387   -779.13074884   -779.09623496
       379       94.750       248.33      0.03420865   -779.13065855   -779.09644989
       380       95.000       254.04      0.03499611   -779.13088246   -779.09588635
       381       95.250       266.39      0.03669732   -779.13136823   -779.09467091
       382       95.500       281.75      0.03881251   -779.13197094   -779.09315843
       383       95.750       295.96      0.04077083   -779.13252668   -779.09175584
       384       96.000       306.02      0.04215563   -779.13291698   -779.09076135
       385       96.250       310.76      0.04280957   -779.13309818   -779.09028861
       386       96.500       310.86      0.04282343   -779.13309722   -779.09027379
       387       96.750       308.26      0.04246490   -779.13299040   -779.09052550
       388       97.000       305.57      0.04209438   -779.13288007   -779.09078569
       389       97.250       305.45      0.04207832   -779.13287052   -779.09079220
       390       97.500       309.89      0.04268990   -779.13304027   -779.09035038
       391       97.750       319.43      0.04400345   -779.13341149   -779.08940803
       392       98.000       332.66      0.04582656   -779.13392990   -779.08810334
       393       98.250       346.49      0.04773186   -779.13447301   -779.08674115
       394       98.500       357.25      0.04921406   -779.13489493   -779.08568088
       395       98.750       362.33      0.04991355   -779.13509171   -779.08517817
       396       99.000       361.36      0.04977900   -779.13504917   -779.08527017
       397       99.250       356.13      0.04905903   -779.13484033   -779.08578130
       398       99.500       349.37      0.04812744   -779.13457417   -779.08644673
       399       99.750       343.15      0.04727094   -779.13433282   -779.08706188
       400      100.000       338.18      0.04658710   -779.13414243   -779.08755533
       401      100.250       334.17      0.04603396   -779.13398879   -779.08795483
       402      100.500       330.66      0.04555086   -779.13385331   -779.08830245
       403      100.750       327.69      0.04514165   -779.13373728   -779.08859563
       404      101.000       325.74      0.04487336   -779.13366071   -779.08878735
       405      101.250       325.33      0.04481588   -779.13364438   -779.08882850
       406      101.500       326.51      0.04497867   -779.13369140   -779.08871273
       407      101.750       328.75      0.04528776   -779.13378047   -779.08849271
       408      102.000       331.11      0.04561230   -779.13387394   -779.08826164
       409      102.250       332.60      0.04581827   -779.13393336   -779.08811509
       410      102.500       332.58      0.04581565   -779.13393313   -779.08811749
       411      102.750       330.88      0.04558106   -779.13386676   -779.08828570
       412      103.000       327.86      0.04516426   -779.13374796   -779.08858371
       413      103.250       324.45      0.04469530   -779.13361302   -779.08891771
       414      103.500       322.20      0.04438539   -779.13352177   -779.08913638
       415      103.750       322.91      0.04448325   -779.13354577   -779.08906252
       416      104.000       327.84      0.04516233   -779.13373642   -779.08857409
       417      104.250       336.71      0.04638396   -779.13408411   -779.08770015
       418      104.500       347.29      0.04784108   -779.13450101   -779.08665993
       419      104.750       356.10      0.04905551   -779.13484915   -779.08579363
       420      105.000       359.98      0.04958898   -779.13500202   -779.08541304
       421      105.250       357.45      0.04924138   -779.13490228   -779.08566090
       422      105.500       349.37      0.04812822   -779.13458360   -779.08645539
       423      105.750       338.40      0.04661668   -779.13415163   -779.08753496
       424      106.000       327.94      0.04517604   -779.13374078   -779.08856474
       425      106.250       320.99      0.04421842   -779.13346838   -779.08924995
       426      106.500       319.29      0.04398412   -779.13340255   -779.08941843
       427      106.750       322.97      0.04449071   -779.13354800   -779.08905728
       428      107.000       330.57      0.04553840   -779.13384807   -779.08830967
       429      107.250       339.40      0.04675515   -779.13419727   -779.08744212
       430      107.500       346.08      0.04767521   -779.13446313   -779.08678792
       431      107.750       347.41      0.04785818   -779.13451950   -779.08666132
       432      108.000       341.51      0.04704452   -779.13429093   -779.08724641
       433      108.250       328.82      0.04529741   -779.13379416   -779.08849674
       434      108.500       312.41      0.04303651   -779.13314929   -779.09011278
